Date,Wind Speed_km/h
2012-01-01,13.227272727272727
2012-01-02,31.416666666666668
2012-01-03,22.041666666666668
2012-01-04,10.5
2012-01-05,12.125
2012-01-06,16.833333333333332
2012-01-07,7.0
2012-01-08,17.916666666666668
2012-01-09,10.625
2012-01-10,22.52173913043478
2012-01-11,19.083333333333332
2012-01-12,29.125
2012-01-13,22.7
2012-01-14,18.571428571428573
2012-01-15,13.0
2012-01-16,10.5
2012-01-17,16.4
2012-01-18,34.208333333333336
2012-01-19,17.208333333333332
2012-01-20,22.708333333333332
2012-01-21,8.416666666666666
2012-01-22,8.375
2012-01-23,16.476190476190474
2012-01-24,26.833333333333332
2012-01-25,20.208333333333332
2012-01-26,11.666666666666666
2012-01-27,22.647058823529413
2012-01-28,15.478260869565217
2012-01-29,29.75
2012-01-30,13.416666666666666
2012-01-31,17.130434782608695
2012-02-01,13.285714285714286
2012-02-02,10.291666666666666
2012-02-03,7.333333333333333
2012-02-04,8.708333333333334
2012-02-05,11.625
2012-02-06,25.041666666666668
2012-02-07,15.166666666666666
2012-02-08,16.375
2012-02-09,21.625
2012-02-10,20.82608695652174
2012-02-11,13.956521739130435
2012-02-12,19.166666666666668
2012-02-13,18.833333333333332
2012-02-14,6.75
2012-02-15,4.583333333333333
2012-02-16,12.041666666666666
2012-02-17,24.958333333333332
2012-02-18,17.833333333333332
2012-02-19,12.041666666666666
2012-02-20,8.291666666666666
2012-02-21,9.458333333333334
2012-02-22,18.045454545454547
2012-02-23,13.833333333333334
2012-02-24,12.136363636363637
2012-02-25,26.9
2012-02-26,20.708333333333332
2012-02-27,15.041666666666666
2012-02-28,12.291666666666666
2012-02-29,15.666666666666666
2012-03-01,26.333333333333332
2012-03-02,17.130434782608695
2012-03-03,39.69565217391305
2012-03-04,20.5
2012-03-05,21.791666666666668
2012-03-06,8.875
2012-03-07,12.333333333333334
2012-03-08,27.391304347826086
2012-03-09,14.541666666666666
2012-03-10,13.416666666666666
2012-03-11,11.666666666666666
2012-03-12,9.25
2012-03-13,10.352941176470589
2012-03-14,10.153846153846153
2012-03-15,19.958333333333332
2012-03-16,12.333333333333334
2012-03-17,3.9130434782608696
2012-03-18,8.0
2012-03-19,9.75
2012-03-20,6.708333333333333
2012-03-21,9.0
2012-03-22,13.083333333333334
2012-03-23,10.416666666666666
2012-03-24,15.291666666666666
2012-03-25,9.73913043478261
2012-03-26,26.958333333333332
2012-03-27,12.708333333333334
2012-03-28,14.73913043478261
2012-03-29,14.041666666666666
2012-03-30,11.458333333333334
2012-03-31,9.708333333333334
2012-04-01,7.5
2012-04-02,14.541666666666666
2012-04-03,13.166666666666666
2012-04-04,18.958333333333332
2012-04-05,19.541666666666668
2012-04-06,16.666666666666668
2012-04-07,10.958333333333334
2012-04-08,13.5
2012-04-09,17.041666666666668
2012-04-10,17.708333333333332
2012-04-11,10.375
2012-04-12,11.333333333333334
2012-04-13,16.375
2012-04-14,16.958333333333332
2012-04-15,17.375
2012-04-16,17.875
2012-04-17,31.208333333333332
2012-04-18,9.583333333333334
2012-04-19,12.333333333333334
2012-04-20,22.583333333333332
2012-04-21,17.681818181818183
2012-04-22,24.904761904761905
2012-04-23,40.95
2012-04-24,19.333333333333332
2012-04-25,16.375
2012-04-26,10.952380952380953
2012-04-27,26.608695652173914
2012-04-28,22.666666666666668
2012-04-29,20.083333333333332
2012-04-30,7.083333333333333
2012-05-01,10.5
2012-05-02,13.318181818181818
2012-05-03,12.583333333333334
2012-05-04,11.5625
2012-05-05,10.791666666666666
2012-05-06,11.791666666666666
2012-05-07,9.0
2012-05-08,14.6875
2012-05-09,12.875
2012-05-10,20.0
2012-05-11,17.833333333333332
2012-05-12,13.166666666666666
2012-05-13,10.541666666666666
2012-05-14,7.625
2012-05-15,12.333333333333334
2012-05-16,14.791666666666666
2012-05-17,16.708333333333332
2012-05-18,13.5
2012-05-19,9.791666666666666
2012-05-20,9.083333333333334
2012-05-21,18.583333333333332
2012-05-22,12.636363636363637
2012-05-23,7.708333333333333
2012-05-24,11.125
2012-05-25,18.956521739130434
2012-05-26,12.125
2012-05-27,7.291666666666667
2012-05-28,19.75
2012-05-29,10.68421052631579
2012-05-30,17.666666666666668
2012-05-31,11.583333333333334
2012-06-01,15.041666666666666
2012-06-02,15.0
2012-06-03,17.75
2012-06-04,21.916666666666668
2012-06-05,14.541666666666666
2012-06-06,9.541666666666666
2012-06-07,11.666666666666666
2012-06-08,12.208333333333334
2012-06-09,7.416666666666667
2012-06-10,6.5
2012-06-11,12.625
2012-06-12,18.3
2012-06-13,17.0
2012-06-14,12.75
2012-06-15,13.333333333333334
2012-06-16,8.666666666666666
2012-06-17,12.291666666666666
2012-06-18,17.583333333333332
2012-06-19,13.041666666666666
2012-06-20,18.416666666666668
2012-06-21,18.791666666666668
2012-06-22,16.625
2012-06-23,11.75
2012-06-24,13.208333333333334
2012-06-25,18.916666666666668
2012-06-26,15.875
2012-06-27,16.416666666666668
2012-06-28,12.791666666666666
2012-06-29,21.217391304347824
2012-06-30,20.166666666666668
2012-07-01,10.833333333333334
2012-07-02,12.833333333333334
2012-07-03,9.041666666666666
2012-07-04,14.782608695652174
2012-07-05,10.625
2012-07-06,12.666666666666666
2012-07-07,14.375
2012-07-08,15.916666666666666
2012-07-09,11.791666666666666
2012-07-10,12.666666666666666
2012-07-11,10.041666666666666
2012-07-12,14.416666666666666
2012-07-13,14.0
2012-07-14,15.416666666666666
2012-07-15,9.826086956521738
2012-07-16,8.416666666666666
2012-07-17,11.11111111111111
2012-07-18,15.125
